Id,MSZoning,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,KitchenQual,Functional,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,PoolQC,Fence,MiscFeature,SaleType,SaleCondition,Crisis,MSSubClass,OverallQual,OverallCond,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,X3SsnPorch,PoolArea,MoSold,YrSold,LotFrontage,LotArea,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,X1stFlrSF,X2ndFlrSF,LowQualFinSF,GrLivArea,GarageYrBlt,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,MiscVal,SalePrice,Reforma
414,RM,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,Gable,CompShg,WdShing,Wd Shng,,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,Gd,Y,FuseA,TA,Typ,Gd,Detchd,Unf,TA,TA,Y,,,,WD,Normal,Si,30,5,6,0,0,1,0,2,1,5,1,2,0,0,3,2010,56.0,8960.0,1927.0,1950,0.0,0.0,0.0,1008.0,1008.0,1028.0,0.0,0.0,1028.0,1927.0,360.0,0.0,0.0,,0.0,0.0,115000,60
415,RL,Pave,,IR2,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,,Gd,TA,PConc,Gd,TA,No,BLQ,GLQ,GasA,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,Unf,TA,TA,Y,,,,WD,Normal,Si,60,7,5,0,1,2,1,3,1,9,1,3,0,0,12,2008,59.0,11228.0,1993.0,1993,0.0,50.0,,499.0,1080.0,1080.0,1017.0,0.0,2097.0,1993.0,678.0,196.0,,0.0,0.0,0.0,228000,15
416,RL,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,,Attchd,Fin,TA,TA,Y,,,,New,Partial,No,20,7,5,0,0,2,0,3,1,6,0,2,0,0,8,2007,73.0,8899.0,2007.0,2007,0.0,24.0,0.0,1316.0,1340.0,1340.0,0.0,0.0,1340.0,2007.0,396.0,100.0,30.0,0.0,0.0,0.0,181134,0
417,RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,2Story,Hip,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,TA,Attchd,Fin,TA,TA,Y,,,,WD,Normal,No,60,6,7,0,0,1,1,3,1,6,1,2,0,0,3,2006,74.0,7844.0,1978.0,1978,203.0,209.0,0.0,463.0,672.0,672.0,728.0,0.0,1400.0,1978.0,440.0,0.0,0.0,0.0,0.0,0.0,149500,28
418,RL,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Crawfor,Feedr,Norm,1Fam,2Story,Hip,CompShg,Wd Sdng,Stucco,,TA,TA,BrkTil,Gd,TA,No,BLQ,Unf,GasW,TA,N,FuseA,TA,Typ,Gd,Detchd,Unf,TA,TA,N,,,,WD,Normal,No,70,6,6,1,0,2,1,4,1,10,1,3,0,0,11,2007,86.0,,1918.0,1950,0.0,1128.0,0.0,242.0,1370.0,1370.0,1254.0,0.0,2624.0,1918.0,864.0,0.0,0.0,0.0,0.0,0.0,239000,57
419,RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,MetalSd,,TA,TA,BrkTil,TA,TA,No,ALQ,Unf,GasA,Fa,N,FuseF,TA,Typ,,Detchd,Unf,TA,TA,P,,,,WD,AdjLand,No,50,5,6,1,0,1,1,3,1,7,0,1,0,0,4,2007,60.0,8160.0,1940.0,1950,0.0,312.0,0.0,444.0,756.0,756.0,378.0,0.0,1134.0,1940.0,240.0,0.0,0.0,0.0,0.0,0.0,126000,57
420,RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,,TA,TA,CBlock,TA,TA,No,BLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Fa,Attchd,Unf,TA,TA,Y,,,,WD,Normal,Si,20,5,6,1,0,1,0,3,1,6,1,1,0,0,7,2010,65.0,8450.0,1968.0,1968,0.0,775.0,0.0,281.0,1056.0,1056.0,0.0,0.0,1056.0,1968.0,304.0,0.0,85.0,,0.0,0.0,142000,42
421,RM,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,Duplex,SFoyer,Gable,CompShg,VinylSd,VinylSd,BrkFace,TA,Gd,PConc,Gd,Gd,Gd,GLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,,Attchd,Fin,TA,TA,Y,,,,WD,Alloca,Si,90,7,5,2,0,2,0,2,2,8,0,4,0,0,11,2008,78.0,7060.0,1997.0,1998,200.0,1309.0,0.0,35.0,1344.0,1344.0,0.0,0.0,1344.0,1997.0,784.0,0.0,0.0,0.0,0.0,0.0,206300,10
422,RL,Pave,,IR1,Lvl,AllPub,FR2,Gtl,NWAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,CemntBd,CmentBd,Stone,Gd,TA,CBlock,Gd,TA,No,ALQ,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,TA,Attchd,Fin,TA,TA,Y,,,,WD,Normal,Si,20,6,7,0,1,2,0,3,1,8,1,2,0,0,6,2009,,16635.0,1977.0,2000,126.0,1246.0,0.0,356.0,1602.0,1602.0,0.0,0.0,1602.0,1977.0,529.0,240.0,0.0,0.0,0.0,0.0,215000,9
423,RL,Pave,,Reg,HLS,AllPub,Inside,Mod,Mitchel,Artery,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,Ex,Y,FuseA,TA,Typ,,Attchd,RFn,TA,TA,N,,,,WD,Normal,Si,20,5,5,0,0,1,0,2,1,4,0,2,0,0,2,2008,100.0,,1954.0,1954,0.0,0.0,0.0,988.0,988.0,988.0,0.0,0.0,988.0,1954.0,520.0,0.0,0.0,0.0,0.0,0.0,113000,54
424,RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,TA,Attchd,Fin,TA,TA,Y,,,,WD,Normal,Si,60,8,5,1,0,2,1,4,1,8,1,3,0,0,6,2008,80.0,9200.0,1998.0,1998,,986.0,0.0,484.0,1470.0,1470.0,1160.0,0.0,2630.0,1998.0,696.0,0.0,66.0,0.0,0.0,0.0,315000,10
425,RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,Gd,TA,No,LwQ,Unf,GasA,Gd,Y,FuseA,TA,Typ,Gd,Attchd,RFn,TA,TA,Y,,,,WD,Normal,Si,20,6,5,1,0,1,0,2,1,6,1,1,0,0,5,2008,72.0,9000.0,1956.0,1956,74.0,616.0,0.0,580.0,1196.0,1196.0,0.0,0.0,1196.0,1956.0,297.0,0.0,44.0,0.0,0.0,0.0,139000,52
426,RM,Pave,Grvl,Reg,HLS,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,,TA,Gd,CBlock,TA,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Gd,Detchd,Unf,TA,TA,P,,,,WD,Normal,Si,60,7,8,0,0,1,1,3,1,6,2,1,0,0,9,2009,60.0,3378.0,1946.0,1992,0.0,0.0,0.0,651.0,651.0,707.0,682.0,0.0,1389.0,1947.0,240.0,0.0,0.0,,0.0,0.0,135000,17
427,RL,Pave,,Reg,Low,AllPub,Inside,Mod,SawyerW,Norm,Norm,1Fam,SLvl,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,Gd,TA,PConc,Gd,TA,Gd,GLQ,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,TA,Attchd,Fin,TA,TA,Y,,,,WD,Normal,Si,80,7,5,1,1,2,0,2,1,5,1,2,0,0,8,2009,,12800.0,1989.0,1989,145.0,1518.0,0.0,0.0,1518.0,1644.0,0.0,0.0,1644.0,1989.0,569.0,80.0,0.0,0.0,,0.0,275000,20
428,RL,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,MetalSd,MetalSd,,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Ex,Y,SBrkr,TA,Typ,,Detchd,Unf,TA,TA,Y,,,,WD,Normal,Si,20,4,6,0,0,1,0,3,1,5,0,1,0,0,7,2008,77.0,8593.0,1957.0,1957,0.0,288.0,0.0,619.0,907.0,907.0,0.0,0.0,907.0,1964.0,352.0,0.0,0.0,0.0,0.0,0.0,109008,51
429,RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,,Attchd,RFn,TA,TA,Y,,,,New,Partial,No,20,7,5,1,0,2,0,2,1,6,0,2,0,0,9,2007,64.0,6762.0,2007.0,2007,108.0,664.0,0.0,544.0,1208.0,1208.0,0.0,0.0,1208.0,2007.0,628.0,105.0,54.0,0.0,0.0,0.0,195400,0
430,RL,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,,TA,TA,CBlock,Gd,TA,Mn,GLQ,Unf,GasA,TA,Y,SBrkr,Gd,Typ,TA,Attchd,Unf,TA,TA,Y,,,,WD,Normal,Si,20,6,5,1,0,2,0,3,1,6,1,2,0,0,3,2009,,11457.0,1988.0,1988,0.0,1005.0,0.0,387.0,1392.0,1412.0,0.0,0.0,1412.0,1988.0,576.0,0.0,0.0,,0.0,0.0,175000,21
431,RM,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,,Detchd,Unf,TA,TA,Y,,,,COD,Abnorml,Si,160,6,5,0,0,1,1,2,1,4,0,1,0,0,7,2008,,1680.0,1971.0,1971,232.0,387.0,0.0,96.0,483.0,483.0,504.0,0.0,987.0,1971.0,264.0,0.0,0.0,0.0,0.0,0.0,85400,37
432,RM,Pave,,IR1,Bnk,AllPub,Inside,Gtl,OldTown,Feedr,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,MetalSd,,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,TA,Typ,,,,,,N,,MnPrv,,ConLD,Abnorml,Si,50,6,7,0,0,1,0,4,1,7,0,0,0,0,9,2008,60.0,5586.0,1920.0,1998,0.0,0.0,0.0,901.0,901.0,1088.0,110.0,0.0,1198.0,,0.0,0.0,98.0,0.0,0.0,0.0,79900,10
433,RM,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,TwnhsE,2Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,Ex,Y,SBrkr,TA,Min1,,Detchd,Unf,TA,TA,Y,,,,WD,Normal,No,160,5,5,1,0,1,1,2,1,6,0,2,0,0,8,2007,,1920.0,1971.0,1971,376.0,471.0,0.0,294.0,765.0,765.0,600.0,0.0,1365.0,1971.0,440.0,240.0,36.0,0.0,0.0,0.0,122500,36
434,RL,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,,TA,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,TA,Typ,TA,Attchd,Fin,TA,TA,Y,,,,WD,Normal,Si,60,6,5,0,0,2,1,3,1,7,1,2,0,0,7,2008,100.0,10839.0,1997.0,1998,0.0,0.0,0.0,926.0,926.0,926.0,678.0,0.0,1604.0,1997.0,470.0,0.0,36.0,0.0,0.0,0.0,181000,10
435,RM,Pave,,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,SFoyer,Gable,CompShg,CemntBd,CmentBd,,TA,Gd,CBlock,Gd,TA,Av,ALQ,Unf,GasA,Gd,Y,SBrkr,TA,Typ,,,,,,Y,,,,WD,Normal,Si,180,4,7,1,0,1,0,1,1,3,0,0,0,0,6,2008,,1890.0,1972.0,1972,0.0,495.0,0.0,135.0,630.0,630.0,0.0,0.0,630.0,,0.0,88.0,0.0,0.0,0.0,0.0,81000,36
436,RL,Pave,,IR2,Lvl,AllPub,CulDSac,Gtl,CollgCr,PosN,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,,Gd,TA,PConc,Gd,TA,Av,GLQ,ALQ,GasA,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,,,,ConLw,Normal,Si,60,7,6,1,0,2,1,3,1,6,1,2,0,0,4,2009,43.0,10667.0,1996.0,1996,0.0,385.0,,70.0,799.0,827.0,834.0,0.0,1661.0,1996.0,550.0,158.0,61.0,0.0,0.0,0.0,212000,13
437,RM,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Stucco,Stucco,,TA,TA,BrkTil,Fa,TA,No,Unf,Unf,GasA,TA,Y,FuseA,TA,Typ,,Detchd,Unf,TA,TA,Y,,,,WD,Normal,No,50,6,8,0,0,1,0,2,1,6,0,2,0,0,10,2006,40.0,4400.0,1920.0,1950,0.0,0.0,0.0,648.0,648.0,734.0,384.0,0.0,1118.0,1990.0,440.0,0.0,0.0,0.0,0.0,0.0,116000,56
438,RM,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,Gable,CompShg,Wd Sdng,Wd Sdng,,Gd,TA,PConc,TA,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,TA,Typ,,Detchd,Unf,TA,TA,Y,,,,WD,Normal,Si,45,6,7,0,0,1,0,2,1,4,0,1,0,0,1,2009,50.0,6000.0,1926.0,2004,0.0,0.0,0.0,884.0,884.0,904.0,0.0,0.0,904.0,1926.0,180.0,0.0,0.0,,0.0,0.0,119000,5
439,RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,Gable,CompShg,WdShing,Stucco,,TA,TA,PConc,TA,TA,No,LwQ,Unf,GasA,TA,N,SBrkr,Gd,Typ,Gd,Detchd,Unf,Gd,TA,P,,MnPrv,,WD,Normal,No,30,5,6,0,0,1,0,2,1,4,1,1,0,0,3,2007,40.0,4280.0,1913.0,2002,0.0,365.0,0.0,75.0,440.0,694.0,0.0,0.0,694.0,1990.0,352.0,0.0,0.0,,0.0,0.0,90350,5
440,RL,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,,TA,TA,BrkTil,TA,Fa,Mn,Unf,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,,Detchd,Unf,TA,TA,Y,,GdPrv,Shed,ConLI,Normal,Si,50,6,8,0,0,1,0,3,1,7,0,2,0,0,8,2009,67.0,12354.0,1920.0,2000,0.0,0.0,0.0,684.0,684.0,684.0,512.0,0.0,1196.0,2005.0,528.0,0.0,46.0,0.0,0.0,,110000,9
441,RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,Stone,Ex,TA,PConc,Ex,TA,Gd,GLQ,ALQ,GasA,Ex,Y,SBrkr,Ex,Typ,Gd,Attchd,Fin,TA,TA,Y,,,,WD,Normal,Si,20,10,5,1,0,2,0,2,1,10,2,3,0,0,4,2009,105.0,15431.0,2008.0,2008,200.0,1767.0,,788.0,,,0.0,0.0,2402.0,2008.0,672.0,0.0,72.0,0.0,,0.0,555000,1
442,RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,TA,N,FuseF,Fa,Typ,,,,,,Y,,,,WD,Normal,Si,90,4,4,0,0,2,0,4,2,8,0,0,0,0,9,2008,92.0,12108.0,1955.0,1955,270.0,133.0,0.0,1307.0,1440.0,1440.0,0.0,0.0,1440.0,,0.0,0.0,0.0,0.0,0.0,0.0,118000,53
443,RM,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,MetalSd,,TA,TA,PConc,TA,TA,No,Unf,Unf,GasA,TA,Y,SBrkr,TA,Typ,Gd,Detchd,Unf,TA,TA,P,,,,WD,Normal,Si,50,5,7,0,0,2,0,3,1,8,1,2,0,0,6,2008,52.0,6240.0,1930.0,1992,0.0,0.0,0.0,1078.0,1078.0,1128.0,445.0,0.0,1573.0,1930.0,360.0,0.0,0.0,0.0,0.0,0.0,162900,16
444,RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,Gable,CompShg,WdShing,Wd Shng,BrkFace,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,Fin,TA,TA,Y,,,,New,Partial,No,120,7,5,0,0,2,0,2,1,6,1,3,0,0,6,2007,53.0,3922.0,2006.0,2007,72.0,0.0,0.0,1258.0,1258.0,1258.0,0.0,0.0,1258.0,2007.0,648.0,144.0,16.0,0.0,0.0,0.0,172500,0
445,RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,,Gd,Gd,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,Unf,TA,TA,Y,,,,WD,Normal,Si,60,7,5,1,0,2,1,4,1,8,1,2,0,0,7,2008,70.0,8750.0,1994.0,1995,0.0,642.0,0.0,273.0,915.0,933.0,975.0,0.0,1908.0,1994.0,493.0,144.0,133.0,0.0,0.0,0.0,210000,13
446,RL,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,Fa,Y,SBrkr,TA,Typ,Gd,Attchd,Unf,TA,TA,Y,,MnPrv,,COD,Normal,Si,20,6,5,0,0,1,0,3,1,7,1,2,0,0,11,2009,73.0,9855.0,1956.0,1956,0.0,0.0,0.0,1436.0,1436.0,1689.0,0.0,0.0,1689.0,1956.0,480.0,0.0,0.0,0.0,0.0,0.0,127500,53
447,RL,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,Gable,CompShg,BrkFace,Plywood,,Gd,TA,CBlock,TA,TA,No,ALQ,Rec,GasA,Ex,Y,SBrkr,Gd,Mod,Gd,Attchd,Fin,TA,TA,Y,,,,WD,Normal,Si,20,6,6,0,0,2,1,2,1,6,1,2,0,0,6,2010,,16492.0,1966.0,2002,0.0,247.0,,557.0,1517.0,1888.0,0.0,0.0,1888.0,1966.0,578.0,0.0,0.0,0.0,0.0,0.0,190000,8
448,RL,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,TA,Attchd,Fin,TA,TA,Y,,,,WD,Normal,No,60,7,5,0,0,2,1,4,1,10,1,2,0,0,7,2006,,11214.0,1998.0,1999,0.0,0.0,0.0,930.0,930.0,956.0,930.0,0.0,1886.0,1998.0,431.0,89.0,0.0,0.0,0.0,0.0,199900,7
449,RM,Pave,,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,MetalSd,,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,TA,Y,SBrkr,TA,Typ,Gd,Detchd,Unf,TA,TA,N,,,,WD,Normal,No,50,6,6,0,0,2,0,3,1,7,1,1,0,0,6,2006,50.0,8600.0,1937.0,1950,0.0,0.0,0.0,780.0,780.0,780.0,596.0,0.0,1376.0,1937.0,198.0,0.0,0.0,0.0,0.0,0.0,119500,56
450,RM,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,MetalSd,,TA,Gd,CBlock,TA,TA,No,ALQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,,Detchd,Unf,TA,TA,Y,,,,WD,Normal,No,50,3,7,0,0,1,1,2,1,6,0,1,0,0,6,2007,50.0,6000.0,1948.0,2002,0.0,331.0,0.0,318.0,649.0,679.0,504.0,0.0,1183.0,1981.0,308.0,0.0,,0.0,0.0,0.0,120000,5
451,RM,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Ex,Y,FuseA,Gd,Typ,,Detchd,Unf,Fa,Fa,N,,,,WD,Normal,No,30,6,8,0,0,1,0,2,1,5,0,1,0,0,6,2006,70.0,5684.0,1930.0,2005,0.0,0.0,0.0,813.0,813.0,813.0,0.0,0.0,813.0,1932.0,270.0,0.0,113.0,0.0,0.0,0.0,110000,1
452,RL,Pave,,IR1,Low,AllPub,Inside,Mod,ClearCr,Norm,Norm,1Fam,1Story,Gable,WdShngl,Plywood,Plywood,,TA,TA,CBlock,Gd,TA,Gd,ALQ,Unf,GasA,TA,Y,SBrkr,Gd,Typ,TA,Attchd,Unf,TA,TA,Y,,,,WD,Normal,No,20,7,5,1,0,2,0,2,1,5,2,2,0,0,12,2006,62.0,,1975.0,1975,0.0,655.0,0.0,878.0,1533.0,1533.0,0.0,0.0,1533.0,1975.0,576.0,200.0,54.0,0.0,0.0,0.0,280000,31
453,RL,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,2Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Ex,TA,No,ALQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,,Attchd,Fin,TA,TA,Y,,,,WD,Normal,No,60,6,5,1,0,2,1,3,1,7,0,2,0,0,7,2007,,9303.0,1996.0,1997,42.0,742.0,0.0,130.0,872.0,888.0,868.0,0.0,1756.0,1996.0,422.0,144.0,122.0,0.0,0.0,0.0,204000,10
454,FV,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,,Attchd,RFn,TA,TA,Y,,,,WD,Normal,Si,60,8,5,0,0,2,1,3,1,6,0,2,0,0,6,2009,75.0,9000.0,2008.0,2008,0.0,0.0,0.0,768.0,768.0,786.0,804.0,0.0,1590.0,2008.0,676.0,0.0,30.0,0.0,0.0,0.0,210000,1
455,RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,Duplex,1Story,Gable,CompShg,Plywood,Plywood,,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,,Detchd,Unf,TA,TA,Y,,,,WD,Family,No,90,5,5,2,0,2,0,4,2,8,0,2,0,0,7,2006,63.0,9297.0,1976.0,1976,0.0,1606.0,0.0,122.0,1728.0,1728.0,0.0,0.0,1728.0,1976.0,560.0,0.0,0.0,0.0,0.0,0.0,188000,30
456,RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,Fa,Y,SBrkr,TA,Typ,TA,Attchd,Unf,TA,TA,Y,,,,WD,Normal,No,20,7,6,0,0,1,1,3,1,6,1,2,0,0,9,2007,80.0,9600.0,1973.0,1973,320.0,916.0,0.0,326.0,1242.0,1242.0,0.0,0.0,1242.0,1973.0,528.0,0.0,0.0,0.0,0.0,0.0,175500,34
457,RM,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,Gable,CompShg,AsbShng,AsbShng,,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Fa,N,SBrkr,TA,Typ,,Detchd,Unf,Fa,Fa,Y,,,,COD,Abnorml,Si,70,5,5,0,0,1,0,4,1,7,0,3,0,0,5,2008,34.0,4571.0,1916.0,1950,0.0,0.0,0.0,624.0,624.0,624.0,720.0,0.0,1344.0,1916.0,513.0,0.0,0.0,,0.0,0.0,98000,58
458,RL,Pave,,IR1,Low,AllPub,CulDSac,Mod,ClearCr,Norm,Norm,1Fam,1Story,Flat,Tar&Grv,Plywood,Plywood,,TA,TA,CBlock,Gd,TA,Gd,BLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Min1,Gd,Attchd,Fin,TA,TA,Y,,,,WD,Normal,Si,20,4,6,1,0,1,0,2,1,6,2,2,0,0,3,2008,,,1954.0,1994,0.0,1116.0,0.0,248.0,1364.0,1663.0,0.0,0.0,1663.0,1954.0,529.0,224.0,137.0,0.0,0.0,0.0,256000,14
459,RM,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,Hip,CompShg,Stucco,Wd Shng,,TA,Gd,PConc,TA,TA,No,Unf,Unf,GasA,Fa,Y,SBrkr,Gd,Typ,Gd,Detchd,Unf,TA,TA,Y,,MnPrv,,WD,Normal,Si,70,8,7,0,0,1,0,3,1,7,1,1,0,0,6,2008,,5100.0,1925.0,1996,0.0,0.0,0.0,588.0,588.0,833.0,833.0,0.0,1666.0,1925.0,228.0,192.0,63.0,0.0,0.0,0.0,161000,12
